English,TurkishTranslations,PartOfSpeech,PastSimple,PastParticiple,IsIrregular,Level,Topic
turn,"{""dönmek""}",Verb,turned,turned,false,A1,Actions
use,"{""kullanmak""}",Verb,used,used,false,A1,Actions
wait,"{""beklemek""}",Verb,waited,waited,false,A1,Actions
walk,"{""yürümek""}",Verb,walked,walked,false,A1,Actions
want,"{""istemek""}",Verb,wanted,wanted,false,A1,Actions
watch,"{""izlemek""}",Verb,watched,watched,false,A1,Actions
work,"{""çalışmak""}",Verb,worked,worked,false,A1,JobsAndWork
be,"{""olmak""}",Verb,was/were,been,true,A1,Actions
become,"{""olmak""}",Verb,became,become,true,A1,Actions
begin,"{""başlamak""}",Verb,began,begun,true,A1,Actions
bring,"{""getirmek""}",Verb,brought,brought,true,A1,Actions
build,"{""inşa etmek""}",Verb,built,built,true,A1,Actions
buy,"{""satın almak""}",Verb,bought,bought,true,A1,ShoppingAndMoney
choose,"{""seçmek""}",Verb,chose,chosen,true,A1,Actions
come,"{""gelmek""}",Verb,came,come,true,A1,Actions
cut,"{""kesmek""}",Verb,cut,cut,true,A1,Actions
do,"{""yapmak"",""etmek""}",Verb,did,done,true,A1,Actions
draw,"{""çizmek""}",Verb,drew,drawn,true,A1,ArtsAndEntertainment
drink,"{""içmek""}",Verb,drank,drunk,true,A1,FoodAndDrink
drive,"{""araba sürmek""}",Verb,drove,driven,true,A1,Transportation
eat,"{""yemek""}",Verb,ate,eaten,true,A1,FoodAndDrink
fall,"{""düşmek""}",Verb,fell,fallen,true,A1,Actions
feel,"{""hissetmek""}",Verb,felt,felt,true,A1,Actions
find,"{""bulmak""}",Verb,found,found,true,A1,Actions
fly,"{""uçmak""}",Verb,flew,flown,true,A1,Transportation
forget,"{""unutmak""}",Verb,forgot,forgotten,true,A1,Actions
get,"{""almak""}",Verb,got,gotten,true,A1,Actions
give,"{""vermek""}",Verb,gave,given,true,A1,Actions
go,"{""gitmek""}",Verb,went,gone,true,A1,Actions
grow,"{""büyümek""}",Verb,grew,grown,true,A1,Actions
have,"{""sahip olmak""}",Verb,had,had,true,A1,Actions
hear,"{""duymak""}",Verb,heard,heard,true,A1,Actions
keep,"{""tutmak""}",Verb,kept,kept,true,A1,Actions
know,"{""bilmek""}",Verb,knew,known,true,A1,Actions
leave,"{""ayrılmak""}",Verb,left,left,true,A1,Actions
let,"{""bırakmak"",""izin vermek""}",Verb,let,let,true,A1,Actions
lose,"{""kaybetmek""}",Verb,lost,lost,true,A1,Actions
make,"{""yapmak""}",Verb,made,made,true,A1,Actions
mean,"{""demek istemek""}",Verb,meant,meant,true,A1,Actions
meet,"{""buluşmak""}",Verb,met,met,true,A1,Actions
pay,"{""ödemek""}",Verb,paid,paid,true,A1,ShoppingAndMoney
put,"{""koymak""}",Verb,put,put,true,A1,Actions
read,"{""okumak""}",Verb,read,read,true,A1,Education
ride,"{""binmek"",""sürmek""}",Verb,rode,ridden,true,A1,Transportation
run,"{""koşmak""}",Verb,ran,run,true,A1,Actions
say,"{""demek"",""söylemek""}",Verb,said,said,true,A1,Actions
see,"{""görmek""}",Verb,saw,seen,true,A1,Actions
sell,"{""satmak""}",Verb,sold,sold,true,A1,ShoppingAndMoney
send,"{""göndermek""}",Verb,sent,sent,true,A1,Actions
show,"{""göstermek""}",Verb,showed,shown,true,A1,Actions
sing,"{""şarkı söylemek""}",Verb,sang,sung,true,A1,ArtsAndEntertainment
sit,"{""oturmak""}",Verb,sat,sat,true,A1,Actions
sleep,"{""uyumak""}",Verb,slept,slept,true,A1,BodyAndHealth
speak,"{""konuşmak""}",Verb,spoke,spoken,true,A1,Actions
spend,"{""harcamak""}",Verb,spent,spent,true,A1,ShoppingAndMoney
stand,"{""durmak""}",Verb,stood,stood,true,A1,Actions
take,"{""almak""}",Verb,took,taken,true,A1,Actions
teach,"{""öğretmek""}",Verb,taught,taught,true,A1,Education
tell,"{""söylemek""}",Verb,told,told,true,A1,Actions
think,"{""düşünmek""}",Verb,thought,thought,true,A1,Actions
understand,"{""anlamak""}",Verb,understood,understood,true,A1,Actions
wake,"{""uyanmak""}",Verb,woke,woken,true,A1,BodyAndHealth
wake up,"{""uyanmak""}",Verb,woke up,woken up,true,A1,BodyAndHealth
wear,"{""giymek"",""takmak""}",Verb,wore,worn,true,A1,Clothing
win,"{""kazanmak""}",Verb,won,won,true,A1,Actions
write,"{""yazmak""}",Verb,wrote,written,true,A1,Education
alive,"{""canlı""}",Adjective,,,false,A2,BodyAndHealth
awake,"{""uyanık""}",Adjective,,,false,A2,BodyAndHealth
blank,"{""boş""}",Adjective,,,false,A2,Descriptions
bright,"{""parlak"",""aydınlık""}",Adjective,,,false,A2,Descriptions
broken,"{""kırık"",""bozuk""}",Adjective,,,false,A2,Descriptions
careful,"{""dikkatli"",""özenli""}",Adjective,,,false,A2,Descriptions
clever,"{""zeki"",""akıllı""}",Adjective,,,false,A2,EmotionsAndPersonality
closed,"{""kapalı""}",Adjective,,,false,A2,Descriptions
dead,"{""ölü""}",Adjective,,,false,A2,BodyAndHealth
deep,"{""derin""}",Adjective,,,false,A2,Descriptions
dry,"{""kuru""}",Adjective,,,false,A2,NatureAndWeather
empty,"{""boş""}",Adjective,,,false,A2,Descriptions
excellent,"{""mükemmel""}",Adjective,,,false,A2,Descriptions
fair,"{""adil""}",Adjective,,,false,A2,Descriptions
foggy,"{""sisli""}",Adjective,,,false,A2,NatureAndWeather
foreign,"{""yabancı"",""dış""}",Adjective,,,false,A2,Descriptions
handsome,"{""yakışıklı""}",Adjective,,,false,A2,Descriptions
heavy,"{""ağır""}",Adjective,,,false,A2,Descriptions
intelligent,"{""zeki""}",Adjective,,,false,A2,EmotionsAndPersonality
lazy,"{""tembel"",""uyuşuk""}",Adjective,,,false,A2,EmotionsAndPersonality
light,"{""hafif"",""aydınlık""}",Adjective,,,false,A2,Descriptions
loud,"{""gürültülü""}",Adjective,,,false,A2,Descriptions
lovely,"{""hoş"",""sevimli""}",Adjective,,,false,A2,Descriptions
low,"{""alçak""}",Adjective,,,false,A2,Descriptions
lucky,"{""şanslı""}",Adjective,,,false,A2,Descriptions
narrow,"{""dar""}",Adjective,,,false,A2,Descriptions
normal,"{""normal""}",Adjective,,,false,A2,Descriptions
rude,"{""kaba"",""nezaketsiz""}",Adjective,,,false,A2,EmotionsAndPersonality
safe,"{""güvenli""}",Adjective,,,false,A2,Descriptions
shut,"{""kapalı""}",Adjective,,,false,A2,Descriptions
soft,"{""yumuşak""}",Adjective,,,false,A2,Descriptions
strange,"{""garip"",""tuhaf""}",Adjective,,,false,A2,Descriptions
stupid,"{""aptal""}",Adjective,,,false,A2,EmotionsAndPersonality
successful,"{""başarılı""}",Adjective,,,false,A2,Descriptions
sweet,"{""tatlı"",""şirin""}",Adjective,,,false,A2,FoodAndDrink
thick,"{""kalın""}",Adjective,,,false,A2,Descriptions
thin,"{""ince""}",Adjective,,,false,A2,Descriptions
unimportant,"{""önemsiz""}",Adjective,,,false,A2,Descriptions
unlucky,"{""şanssız""}",Adjective,,,false,A2,Descriptions
weak,"{""zayıf""}",Adjective,,,false,A2,Descriptions
wet,"{""ıslak""}",Adjective,,,false,A2,NatureAndWeather
wide,"{""geniş""}",Adjective,,,false,A2,Descriptions
basketball,"{""basketbol""}",Noun,,,false,A2,SportsAndLeisure
bean,"{""fasulye"",""çekirdek""}",Noun,,,false,A2,FoodAndDrink
bear,"{""ayı""}",Noun,,,false,A2,Animals
beef,"{""sığır eti""}",Noun,,,false,A2,FoodAndDrink
biscuit,"{""bisküvi"",""kurabiye""}",Noun,,,false,A2,FoodAndDrink
board,"{""tahta""}",Noun,,,false,A2,HomeAndObjects
bone,"{""kemik"",""kılçık""}",Noun,,,false,A2,BodyAndHealth
bowl,"{""kase"",""çanak""}",Noun,,,false,A2,HomeAndObjects
bridge,"{""köprü""}",Noun,,,false,A2,Places
bucket,"{""kova""}",Noun,,,false,A2,HomeAndObjects
button,"{""düğme"",""tuş""}",Noun,,,false,A2,HomeAndObjects
camp,"{""kamp""}",Noun,,,false,A2,Places
cartoon,"{""çizgi film"",""karikatür""}",Noun,,,false,A2,ArtsAndEntertainment
church,"{""kilise""}",Noun,,,false,A2,Places
cloud,"{""bulut""}",Noun,,,false,A2,NatureAndWeather
coach,"{""antrenör"",""otobüs""}",Noun,,,false,A2,SportsAndLeisure
code,"{""kod"",""şifre""}",Noun,,,false,A2,TechnologyAndMedia
community,"{""toplum"",""topluluk""}",Noun,,,false,A2,SocietyAndPolitics
cookie,"{""kurabiye"",""çerez""}",Noun,,,false,A2,FoodAndDrink
couch,"{""kanepe"",""koltuk""}",Noun,,,false,A2,HomeAndObjects
drama,"{""drama"",""tiyatro""}",Noun,,,false,A2,ArtsAndEntertainment
education,"{""eğitim""}",Noun,,,false,A2,Education
engineer,"{""mühendis""}",Noun,,,false,A2,JobsAndWork
field,"{""tarla"",""alan""}",Noun,,,false,A2,NatureAndWeather
fishing,"{""balıkçılık""}",Noun,,,false,A2,SportsAndLeisure
frog,"{""kurbağa""}",Noun,,,false,A2,Animals
goal,"{""hedef"",""amaç""}",Noun,,,false,A2,General
government,"{""hükümet""}",Noun,,,false,A2,SocietyAndPolitics
grass,"{""çimen"",""ot""}",Noun,,,false,A2,NatureAndWeather
ground,"{""yer"",""zemin""}",Noun,,,false,A2,NatureAndWeather
guest,"{""misafir"",""konuk""}",Noun,,,false,A2,FamilyAndPeople
guy,"{""adam"",""herif""}",Noun,,,false,A2,FamilyAndPeople
habit,"{""alışkanlık"",""huy""}",Noun,,,false,A2,General
haircut,"{""saç kesimi""}",Noun,,,false,A2,BodyAndHealth
hall,"{""salon"",""koridor""}",Noun,,,false,A2,HomeAndObjects
headache,"{""baş ağrısı""}",Noun,,,false,A2,BodyAndHealth
heart,"{""kalp"",""yürek""}",Noun,,,false,A2,BodyAndHealth
hill,"{""tepe"",""yokuş""}",Noun,,,false,A2,NatureAndWeather
item,"{""madde"",""öğe""}",Noun,,,false,A2,General
kid,"{""çocuk""}",Noun,,,false,A2,FamilyAndPeople
king,"{""kral""}",Noun,,,false,A2,SocietyAndPolitics
knife,"{""bıçak""}",Noun,,,false,A2,HomeAndObjects
lady,"{""hanımefendi"",""kadın""}",Noun,,,false,A2,FamilyAndPeople
law,"{""kanun""}",Noun,,,false,A2,SocietyAndPolitics
level,"{""seviye""}",Noun,,,false,A2,General
mail,"{""posta""}",Noun,,,false,A2,TechnologyAndMedia
medicine,"{""ilaç"",""tıp""}",Noun,,,false,A2,BodyAndHealth
memory,"{""hafıza"",""anı""}",Noun,,,false,A2,General
mobile,"{""cep telefonu""}",Noun,,,false,A2,TechnologyAndMedia
monkey,"{""maymun""}",Noun,,,false,A2,Animals
neck,"{""boyun""}",Noun,,,false,A2,BodyAndHealth
officer,"{""memur"",""subay""}",Noun,,,false,A2,JobsAndWork
owner,"{""sahip"",""malik""}",Noun,,,false,A2,JobsAndWork
palace,"{""saray""}",Noun,,,false,A2,Places
pants,"{""pantolon""}",Noun,,,false,A2,Clothing
peace,"{""barış"",""huzur""}",Noun,,,false,A2,SocietyAndPolitics
pocket,"{""cep""}",Noun,,,false,A2,Clothing
pollution,"{""kirlilik""}",Noun,,,false,A2,NatureAndWeather
poster,"{""afiş"",""poster""}",Noun,,,false,A2,TechnologyAndMedia
power,"{""güç""}",Noun,,,false,A2,General
president,"{""başkan"",""cumhurbaşkanı""}",Noun,,,false,A2,SocietyAndPolitics
program,"{""program""}",Noun,,,false,A2,TechnologyAndMedia
reporter,"{""muhabir""}",Noun,,,false,A2,JobsAndWork
research,"{""araştırma""}",Noun,,,false,A2,Education
seat,"{""koltuk"",""oturacak yer""}",Noun,,,false,A2,HomeAndObjects
service,"{""hizmet""}",Noun,,,false,A2,JobsAndWork
ship,"{""gemi""}",Noun,,,false,A2,Transportation
shoulder,"{""omuz""}",Noun,,,false,A2,BodyAndHealth
side,"{""yan"",""taraf""}",Noun,,,false,A2,General
site,"{""alan"",""bölge""}",Noun,,,false,A2,Places
soccer,"{""futbol""}",Noun,,,false,A2,SportsAndLeisure
speech,"{""konuşma"",""nutuk""}",Noun,,,false,A2,General
state,"{""eyalet"",""durum""}",Noun,,,false,A2,SocietyAndPolitics
stone,"{""taş""}",Noun,,,false,A2,NatureAndWeather
store,"{""dükkân"",""mağaza""}",Noun,,,false,A2,Places
suggestion,"{""öneri"",""tavsiye""}",Noun,,,false,A2,General
sunshine,"{""güneş ışığı""}",Noun,,,false,A2,NatureAndWeather
system,"{""sistem""}",Noun,,,false,A2,TechnologyAndMedia
technology,"{""teknoloji""}",Noun,,,false,A2,TechnologyAndMedia
tool,"{""alet"",""araç""}",Noun,,,false,A2,HomeAndObjects
towel,"{""havlu""}",Noun,,,false,A2,HomeAndObjects
tower,"{""kule""}",Noun,,,false,A2,Places
truck,"{""kamyon""}",Noun,,,false,A2,Transportation
war,"{""savaş""}",Noun,,,false,A2,SocietyAndPolitics
wheel,"{""tekerlek"",""direksiyon""}",Noun,,,false,A2,Transportation
wind,"{""rüzgâr""}",Noun,,,false,A2,NatureAndWeather
others,"{""diğerleri""}",Pronoun,,,false,A2,General
allow,"{""izin vermek""}",Verb,allowed,allowed,false,A2,Actions
appear,"{""görünmek""}",Verb,appeared,appeared,false,A2,Actions
borrow,"{""ödünç almak"",""borç almak""}",Verb,borrowed,borrowed,false,A2,ShoppingAndMoney
celebrate,"{""kutlamak""}",Verb,celebrated,celebrated,false,A2,ArtsAndEntertainment
collect,"{""toplamak"",""biriktirmek""}",Verb,collected,collected,false,A2,Actions
consider,"{""değerlendirmek"",""düşünmek""}",Verb,considered,considered,false,A2,Actions
continue,"{""devam etmek""}",Verb,continued,continued,false,A2,Actions
drop,"{""düşürmek"",""bırakmak""}",Verb,dropped,dropped,false,A2,Actions
expect,"{""beklemek""}",Verb,expected,expected,false,A2,Actions
focus,"{""odaklanmak""}",Verb,focused,focused,false,A2,Actions
greet,"{""selamlamak"",""karşılamak""}",Verb,greeted,greeted,false,A2,Actions
jump,"{""zıplamak"",""atlamak""}",Verb,jumped,jumped,false,A2,Actions
kill,"{""öldürmek"",""yok etmek""}",Verb,killed,killed,false,A2,Actions
offer,"{""teklif etmek""}",Verb,offered,offered,false,A2,Actions
provide,"{""sağlamak""}",Verb,provided,provided,false,A2,Actions
push,"{""itmek"",""zorlamak""}",Verb,pushed,pushed,false,A2,Actions
reach,"{""ulaşmak""}",Verb,reached,reached,false,A2,Actions
save,"{""kurtarmak"",""kaydetmek""}",Verb,saved,saved,false,A2,Actions
seem,"{""görünmek""}",Verb,seemed,seemed,false,A2,Actions
serve,"{""hizmet etmek""}",Verb,served,served,false,A2,Actions
solve,"{""çözmek"",""halletmek""}",Verb,solved,solved,false,A2,Actions
succeed,"{""başarmak""}",Verb,succeeded,succeeded,false,A2,Actions
turn off,"{""kapatmak""}",Verb,turned off,turned off,false,A2,Actions
turn on,"{""açmak"",""çalıştırmak""}",Verb,turned on,turned on,false,A2,Actions
worry,"{""endişelenmek""}",Verb,worried,worried,false,A2,EmotionsAndPersonality
beat,"{""vurmak"",""yenmek""}",Verb,beat,beaten,true,A2,Actions
catch,"{""yakalamak""}",Verb,caught,caught,true,A2,Actions
dream,"{""rüya görmek""}",Verb,dreamt,dreamt,true,A2,Actions
feed,"{""beslemek""}",Verb,fed,fed,true,A2,Actions
fight,"{""dövüşmek""}",Verb,fought,fought,true,A2,Actions
hide,"{""saklanmak""}",Verb,hid,hidden,true,A2,Actions
hold,"{""tutmak"",""beklemek""}",Verb,held,held,true,A2,Actions
lead,"{""yön vermek""}",Verb,led,led,true,A2,Actions
lend,"{""ödünç vermek""}",Verb,lent,lent,true,A2,ShoppingAndMoney
rise,"{""yükselmek""}",Verb,rose,risen,true,A2,Actions
shake,"{""sallamak""}",Verb,shook,shaken,true,A2,Actions
steal,"{""çalmak""}",Verb,stole,stolen,true,A2,Actions
throw,"{""atmak"",""fırlatmak""}",Verb,threw,thrown,true,A2,Actions
far,"{""uzak""}",Adjective,,,false,B1,Descriptions
generous,"{""cömert""}",Adjective,,,false,B1,EmotionsAndPersonality
glad,"{""memnun"",""hoşnut""}",Adjective,,,false,B1,EmotionsAndPersonality
lonely,"{""yalnız"",""kimsesiz""}",Adjective,,,false,B1,EmotionsAndPersonality
pleasant,"{""keyifli""}",Adjective,,,false,B1,Descriptions
shy,"{""utangaç"",""çekingen""}",Adjective,,,false,B1,EmotionsAndPersonality
smart,"{""akıllı"",""zeki""}",Adjective,,,false,B1,EmotionsAndPersonality
tight,"{""sıkı""}",Adjective,,,false,B1,Descriptions
ugly,"{""çirkin""}",Adjective,,,false,B1,Descriptions
unfair,"{""adil olmayan""}",Adjective,,,false,B1,Descriptions
album,"{""albüm""}",Noun,,,false,B1,ArtsAndEntertainment
bee,"{""arı""}",Noun,,,false,B1,Animals
bell,"{""zil"",""çan""}",Noun,,,false,B1,HomeAndObjects
cap,"{""şapka"",""kep""}",Noun,,,false,B1,Clothing
celebration,"{""kutlama"",""şenlik""}",Noun,,,false,B1,ArtsAndEntertainment
cloth,"{""bez"",""kumaş""}",Noun,,,false,B1,Clothing
collection,"{""koleksiyon"",""toplama""}",Noun,,,false,B1,General
corn,"{""mısır""}",Noun,,,false,B1,FoodAndDrink
drum,"{""davul"",""bateri""}",Noun,,,false,B1,ArtsAndEntertainment
file,"{""dosya""}",Noun,,,false,B1,TechnologyAndMedia
leaf,"{""yaprak""}",Noun,,,false,B1,NatureAndWeather
poem,"{""şiir""}",Noun,,,false,B1,ArtsAndEntertainment
princess,"{""prenses""}",Noun,,,false,B1,SocietyAndPolitics
shelf,"{""raf""}",Noun,,,false,B1,HomeAndObjects
vote,"{""oy""}",Noun,,,false,B1,SocietyAndPolitics
breathe,"{""nefes almak"",""solumak""}",Verb,breathed,breathed,false,B1,BodyAndHealth
pray,"{""dua etmek""}",Verb,prayed,prayed,false,B1,Actions
translate,"{""çevirmek""}",Verb,translated,translated,false,B1,Education
freeze,"{""donmak""}",Verb,froze,frozen,true,B1,Actions
hang,"{""asmak""}",Verb,hung,hung,true,B1,Actions
quit,"{""çıkmak"",""bırakmak""}",Verb,quit,quit,true,B1,Actions
set,"{""belirlemek""}",Verb,set,set,true,B1,Actions
shine,"{""parlamak""}",Verb,shone,shone,true,B1,Actions
shoot,"{""ateş etmek""}",Verb,shot,shot,true,B1,Actions
sink,"{""batmak""}",Verb,sank,sunk,true,B1,Actions
cute,"{""sevimli"",""tatlı""}",Adjective,,,false,B2,Descriptions
elementary,"{""temel"",""başlangıç""}",Adjective,,,false,B2,Descriptions
loose,"{""bol""}",Adjective,,,false,B2,Descriptions
shallow,"{""sığ""}",Adjective,,,false,B2,Descriptions
strict,"{""katı"",""otoriter""}",Adjective,,,false,B2,Descriptions
fever,"{""ateş""}",Noun,,,false,B2,BodyAndHealth
rat,"{""sıçan""}",Noun,,,false,B2,Animals
rose,"{""gül""}",Noun,,,false,B2,NatureAndWeather
bet,"{""bahse girmek""}",Verb,bet,bet,true,B2,ShoppingAndMoney
